sentence,relation,entities,sentence_no_tags
"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year.",14,"['article', 'music']","This article gives details on 2004 in music in the United Kingdom, including the official charts from that year."
We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>.,14,"['meeting', 'rural history']",We have therefore taken the initiative to convene the first international open meeting dedicated solely to rural history.
"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets.",2,"['timer', 'device']","The timer of the device automatically eliminates wasted ""standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets."
Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.,15,"['offer', 'phone call']",Bob Parks made a similar offer in a phone call made earlier this week.
He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.,1,"['headaches', 'mold']",He had chest pains and headaches from mold in the bedrooms.
The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1>country</e1>'s founding <e2>father</e2>.,16,"['country', 'father']",The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the country's founding father.
It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>.,6,"['stack', 'carton']",It describes a method for loading a horizontal stack of containers into a carton.
The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond.,2,"['plumbing', 'manor house']",The Foundation decided to repurpose the building in order to reduce wear and tear on the plumbing in the manor house by redirecting visitors during restoration projects and beyond.
The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>.,8,"['electricity', 'systems']",The technology is available to produce and transmit electricity economically from OTEC systems.
The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>.,18,"['plan', 'resistance']",The Medicare buy-in plan ran into Senate resistance.
"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).",3,"['provinces', 'counties']","The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan)."
Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.,0,"['stress', 'divorce']",Financial stress is one of the main causes of divorce.
<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.,11,"['Newspapers', 'service']",Newspapers swap content via widgets with the help of the newsgator service.
The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.,0,"['women', 'accident']",The women that caused the accident was on the cell phone and ran thru the intersection without pausing on the median.
The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.,4,"['transmitter', 'suite']",The transmitter was discovered inside a bed settee suite on which he had been sitting.
The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,13,"['chain', 'lagoons']",The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.
"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.",8,"['student', 'jail']","A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus."
<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.,1,"['Calluses', 'skin abnormality']",Calluses are caused by improperly fitting shoes or by a skin abnormality.
<e1>Adults</e1> use <e2>drugs</e2> for this purpose.,11,"['Adults', 'drugs']",Adults use drugs for this purpose.
The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.,11,"['councilor', 'elicitation']",The councilor proposed assessing infinitival complements through elicitation.
"As in the popular movie ""Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle.",1,"['meteor shower', 'comet']","As in the popular movie ""Deep Impact"", the action of the Perseid meteor shower is caused by a comet, in this case periodic comet Swift-Tuttle."
The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.,18,"['notes', 'statements']",The following information appeared in the notes to consolidated financial statements of some corporate annual reports.
HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.,18,"['diamond', 'colliers']",HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.
The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.,1,"['radiation', 'bomb explosion']",The radiation from the atomic bomb explosion is a typical acute radiation.
The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,3,"['boat', 'tiller']",The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.
A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.,1,"['recurrence', 'radiation']",A neoplastic recurrence arose from an extensive radiation induced ulceration.
He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.,1,"['scars', 'stitches']",He has a tattoo on his right arm and scars from stitches on his right elbow.
"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason.",13,"['knob', 'toads']","Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason."
"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation.",14,"['discourse', 'participation']","Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation."
Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha.,18,"['silver', 'ring']",Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.
Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession.,14,"['debate', 'value']",Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.
This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing.,4,"['dress', 'trunk']",This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.
My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.,18,"['disagreement', 'causal part']",My major disagreement with Lyons concerns the causal part of his theory.
Both his <e1>feet</e1> have been moving into the <e2>ball</e2>.,6,"['feet', 'ball']",Both his feet have been moving into the ball.
"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion.",4,"['box cutters', 'box']","The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion."
"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.",13,"['wing', 'dragons']","A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos."
"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant.",6,"['cowpea', 'double bags']","As a control, cowpea was sealed in double bags without fumigant."
The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.,18,"['brucellosis', 'cow']",The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.
"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>.",18,"['rout', 'hosts']","As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and rout of the undisciplined Gaelic hosts."
"The first incarnation of this series was set in the 1940s, during World War II, when the <e1>princess</e1> left her native paradise <e2>island</e2> (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.",8,"['princess', 'island']","The first incarnation of this series was set in the 1940s, during World War II, when the princess left her native paradise island (where Amazon women had lived for centuries) to help the U.S. foil the Nazis."
Cieply's <e1>story</e1> makes a compelling <e2>point</e2> about modern-day studio economics.,14,"['story', 'point']",Cieply's story makes a compelling point about modern-day studio economics.
We poured the <e1>milk</e1> into the <e2>pumpkin mixture</e2>.,6,"['milk', 'pumpkin mixture']",We poured the milk into the pumpkin mixture.
Lawyers in Detroit also worked overtime as several <e1>lawsuits</e1> ensued from angry and injured <e2>fans</e2>.,8,"['lawsuits', 'fans']",Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans.
The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.,1,"['outbreak', 'vaccine']",The continuing Nigerian outbreak is the biggest ever caused by the vaccine.
Our mercenary Army has now degenerated into a Godless <e1>cabal</e1> of mindless <e2>killers</e2> not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,13,"['cabal', 'killers']",Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).
The <e1>fire</e1> inside WTC was caused by exploding <e2>fuel</e2>.,1,"['fire', 'fuel']",The fire inside WTC was caused by exploding fuel.
The <e1>epithelium</e1> from the knockout mouse bladder is migrating into the transplanted <e2>matrix</e2>.,6,"['epithelium', 'matrix']",The epithelium from the knockout mouse bladder is migrating into the transplanted matrix.
The <e1>staff</e1> was removed from his <e2>position</e2>.,8,"['staff', 'position']",The staff was removed from his position.
The <e1>suffering</e1> caused by the <e2>terrorists</e2> is the real torture.,1,"['suffering', 'terrorists']",The suffering caused by the terrorists is the real torture.
This <e1>love</e1> of nature's gift has been reflected in <e2>artworks</e2> dating back more than a thousand years.,15,"['love', 'artworks']",This love of nature's gift has been reflected in artworks dating back more than a thousand years.
The <e1>court</e1> decided the objection by making the instalment <e2>order</e2> as sought.,17,"['court', 'order']",The court decided the objection by making the instalment order as sought.
"In a poetic twist, the <e1>tsunami</e1> triggered by the rock <e2>band</e2> forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965.",1,"['tsunami', 'band']","In a poetic twist, the tsunami triggered by the rock band forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965."
<e1>Leakage</e1> and fire caused due to <e2>corrosion</e2> of bypass piping for recirculation gas at a fuel oil desulphurization unit.,1,"['Leakage', 'corrosion']",Leakage and fire caused due to corrosion of bypass piping for recirculation gas at a fuel oil desulphurization unit.
A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e1>drivers</e1> to take control of the <e2>wheel</e2>.,11,"['drivers', 'wheel']",A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.
BMW's iDrive 4.0 brings in a <e1>horde</e1> of new <e2>features</e2>.,13,"['horde', 'features']",BMW's iDrive 4.0 brings in a horde of new features.
The metal <e1>ball</e1> makes a ding ding ding <e2>noise</e2> when it swings back and hits the metal body of the lamp.,0,"['ball', 'noise']",The metal ball makes a ding ding ding noise when it swings back and hits the metal body of the lamp.
It consists of an <e1>ensemble</e1> of <e2>ladies</e2> who are highly qualified to play various Arabic musical instruments.,13,"['ensemble', 'ladies']",It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.
It underscores the need for continued surveillance of nicotine delivery in <e1>products</e1> created by an unregulated <e2>industry</e2>.,16,"['products', 'industry']",It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry.
"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet <e1>sand</e1> of the <e2>beach</e2>.",18,"['sand', 'beach']","Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach."
A large <e1>marble</e1> was dropped into the <e2>bowl</e2>.,6,"['marble', 'bowl']",A large marble was dropped into the bowl.
Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.,1,"['damage', 'earthquake']",Historical view of the damage caused by the 1693 Catania earthquake and the reconstruction activities.
"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e1>suffering</e1> caused by the responsible police <e2>officers</e2>.",1,"['suffering', 'officers']","AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the suffering caused by the responsible police officers."
The <e1>findings</e1> have been published in a special <e2>section</e2> of the academic journal Archives of Sexual Behavior.,18,"['findings', 'section']",The findings have been published in a special section of the academic journal Archives of Sexual Behavior.
An Amtrak <e1>passenger</e1> who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the <e2>train</e2> and is being held in Colorado.,8,"['passenger', 'train']",An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado.
The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.,2,"['introduction', 'book']",The introduction in the book is a summary of what is in the text.
The second <e1>simulation</e1> was started from the uncomplexed x-ray <e2>structure</e2> after insertion of the ligand into the binding site.,8,"['simulation', 'structure']",The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site.
This <e1>user</e1> plays games on a portable <e2>console</e2>.,11,"['user', 'console']",This user plays games on a portable console.
The ambitious Eurasia <e1>exhibition</e1> arose from an <e2>idea</e2> by Achille Bonito Oliva.,8,"['exhibition', 'idea']",The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.
The <e1>driver</e1> of the cement truck cleaned the loading chute on his truck with a truck-mounted water <e2>hose</e2> and began to pull away.,11,"['driver', 'hose']",The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.
The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the <e1>recession</e1> triggered by the 1929 Wall Street <e2>crash</e2>.,1,"['recession', 'crash']",The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the recession triggered by the 1929 Wall Street crash.
In the corner there are several gate captains and a <e1>legion</e1> of Wu <e2>crossbowmen</e2>.,13,"['legion', 'crossbowmen']",In the corner there are several gate captains and a legion of Wu crossbowmen.
"Once they grow there, the <e1>swelling</e1> and inflammation caused by the <e2>infection</e2> closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells.",1,"['swelling', 'infection']","Once they grow there, the swelling and inflammation caused by the infection closes off the sac, causing it not to ""shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."
"Guitars are played acoustically; the <e1>tone</e1> is produced by the <e2>vibration</e2> of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.",1,"['tone', 'vibration']","Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone."
"Flowers are reborn from the soil and the climate begins to warm, all set to a <e1>score</e1> improvised by an <e2>orchestra</e2> of birds.",18,"['score', 'orchestra']","Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds."
He posted the <e1>answers</e1> to the <e2>website</e2>.,6,"['answers', 'website']",He posted the answers to the website.
"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the <e1>threat</e1> caused by the <e2>spell</e2> is minimal.",1,"['threat', 'spell']","Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal."
A <e1>programmer</e1> uses a high level <e2>language</e2> to implement its algorithms.,11,"['programmer', 'language']",A programmer uses a high level language to implement its algorithms.
"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the <e1>earthquakes</e1> are caused by the <e2>movements</e2> of hydrothermal and/or magmatic fluids.",1,"['earthquakes', 'movements']","The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids."
"Flowers are nice, but don't last very long and the <e1>fruit</e1> in a fruit <e2>basket</e2> often goes bad.",4,"['fruit', 'basket']","Flowers are nice, but don't last very long and the fruit in a fruit basket often goes bad."
He decided to pad the <e1>heel</e1> of <e2>shoes</e2> with a shock absorbing insole or heel pad.,2,"['heel', 'shoes']",He decided to pad the heel of shoes with a shock absorbing insole or heel pad.
"From the Scots (Lingle) and French (Ligneul, Lignoul), comes a <e1>shoemaker</e1>'s sewing <e2>thread</e2>, waxed and bristled (See Waxed End).",11,"['shoemaker', 'thread']","From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End)."
One <e1>tablet</e1> per quart was dropped into a <e2>canteen</e2> and made the water safe to drink.,6,"['tablet', 'canteen']",One tablet per quart was dropped into a canteen and made the water safe to drink.
"The tiny <e1>image</e1> of the Renaissance master is hidden in a <e2>carafe</e2> of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.",4,"['image', 'carafe']","The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works."
"Then I swept up the dust, which looked like sawdust, and put it in a <e1>plastic container</e1>, which was in a <e2>cabinet</e2> under the granite counter top.",4,"['plastic container', 'cabinet']","Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top."
In the former method the <e1>acetone</e1> was distilled from an allraline <e2>solution</e2> after the excess oxidant had been destroyed with sodium.,8,"['acetone', 'solution']",In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium.
"In this comprehensive <e1>guide</e1>, over 850 <e2>roses</e2> are described, illustrated, and arranged by group.",14,"['guide', 'roses']","In this comprehensive guide, over 850 roses are described, illustrated, and arranged by group."
<e1>Chestnut</e1> <e2>flour</e2> was more common than wheat flour in the Italian Alps a century ago.,9,"['Chestnut', 'flour']",Chestnut flour was more common than wheat flour in the Italian Alps a century ago.
For us the term <e1>artists</e1>' <e2>book</e2> simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.,17,"['artists', 'book']",For us the term artists' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.
My parents bought her a <e1>silver</e1> <e2>necklace</e2> almost identical to the one pictured.,18,"['silver', 'necklace']",My parents bought her a silver necklace almost identical to the one pictured.
Forward <e1>motion</e1> of the vehicle through the air caused a <e2>suction</e2> on the road draft tube.,0,"['motion', 'suction']",Forward motion of the vehicle through the air caused a suction on the road draft tube.
"Paul Friedrich guides us through a <e1>babel</e1> of <e2>words</e2>, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.",18,"['babel', 'words']","Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child."
The picture below shows a view chapel and west range of the inner <e1>courtyard</e1> of the <e2>castle</e2>.,2,"['courtyard', 'castle']",The picture below shows a view chapel and west range of the inner courtyard of the castle.
I was attacked by a <e1>flock</e1> of <e2>pigeons</e2> today.,13,"['flock', 'pigeons']",I was attacked by a flock of pigeons today.
That <e1>decision</e1> was also the subject of an unsuccessful <e2>legal challenge</e2>.,18,"['decision', 'legal challenge']",That decision was also the subject of an unsuccessful legal challenge.
The exit temperature of an effluent <e1>stream</e1> from the low temperature steam reforming <e2>reactor</e2> is not higher than 600 C.,8,"['stream', 'reactor']",The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C.
Individual <e1>investors</e1> moved into the <e2>property</e2>.,6,"['investors', 'property']",Individual investors moved into the property.
One of the trickiest <e1>questions</e1> to answer in an interview relates to <e2>salary</e2>.,14,"['questions', 'salary']",One of the trickiest questions to answer in an interview relates to salary.
This <e1>tradition</e1> has been narrated in prophet's early <e2>biographies</e2>.,15,"['tradition', 'biographies']",This tradition has been narrated in prophet's early biographies.
A <e1>thief</e1> who tried to steal the truck broke the igenition with <e2>screwdriver</e2>.,11,"['thief', 'screwdriver']",A thief who tried to steal the truck broke the igenition with screwdriver.
"After the Marian reforms the Legion was notionally a <e1>unit</e1> of heavy <e2>infantrymen</e2> armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.",13,"['unit', 'infantrymen']","After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit."
The prosecutors carried <e1>guns</e1> into the <e2>court room</e2>.,6,"['guns', 'court room']",The prosecutors carried guns into the court room.
"The <e1>malfunctions</e1> on Monday caused <e2>delays</e2> for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.",0,"['malfunctions', 'delays']","The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online."
<e1>Chemical weapons</e1> have been dropped into the <e2>lake</e2>.,6,"['Chemical weapons', 'lake']",Chemical weapons have been dropped into the lake.
Many other <e1>dwarves</e1> also hailed from this infamous <e2>clan</e2>.,8,"['dwarves', 'clan']",Many other dwarves also hailed from this infamous clan.
The <e1>nose</e1> of a <e2>bloodhound</e2> is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.,2,"['nose', 'bloodhound']",The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.
Global digital music sales grow as the music <e1>industry</e1> develops new business <e2>models</e2>.,17,"['industry', 'models']",Global digital music sales grow as the music industry develops new business models.
"The <e1>devices</e1> were manufactured at the <e2>factory</e2> in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.",16,"['devices', 'factory']","The devices were manufactured at the factory in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold."
