sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
The technology is available to produce and transmit electricity economically from OTEC systems.,"['electricity', 'systems']",8,1,"('systems', 'electricity')",False,00:00:30
The Medicare buy-in plan ran into Senate resistance.,"['plan', 'resistance']",18,0,"('plan', 'resistance')",False,00:00:32
"The provinces are divided into counties (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan).","['provinces', 'counties']",3,0,"('provinces', 'counties')",False,00:00:24
Newspapers swap content via widgets with the help of the newsgator service.,"['Newspapers', 'service']",11,-1,[],False,00:00:50
The transmitter was discovered inside a bed settee suite on which he had been sitting.,"['transmitter', 'suite']",4,-1,[],False,00:00:28
The Kerala backwaters are a chain of brackish lagoons and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.,"['chain', 'lagoons']",13,-1,[],False,00:00:29
"A St. Paul College student was released from jail Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.","['student', 'jail']",8,0,"('student', 'jail')",False,00:00:41
Adults use drugs for this purpose.,"['Adults', 'drugs']",11,0,"('Adults', 'drugs')",False,00:00:32
The councilor proposed assessing infinitival complements through elicitation.,"['councilor', 'elicitation']",11,0,"('councilor', 'elicitation')",False,00:00:38
The following information appeared in the notes to consolidated financial statements of some corporate annual reports.,"['notes', 'statements']",18,1,"('statements', 'notes')",False,00:00:27
HipHop appropriates the symbols of a consumer society: oversized diamond colliers are worn.,"['diamond', 'colliers']",18,-1,[],False,00:00:37
The ride-on boat tiller was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.,"['boat', 'tiller']",3,-1,[],False,00:00:50
"Whether your home includes a charm of finches, a sute of bloodhounds, or a knob of toads, I think it's important to keep the numbers within reason.","['knob', 'toads']",13,-1,[],False,00:00:37
"Furthermore, these INGO practitioners constructed a discourse around participation which distorted the real significance of participation.","['discourse', 'participation']",14,-1,[],False,00:00:43
Kelvin bought a silver ring which he was so happy with and he keeps wearing it now even though its abit too big haha.,"['silver', 'ring']",18,-1,[],False,00:00:31
Scientists are in the midst of an ongoing debate about the relative value of openness and collaboration in their profession.,"['debate', 'value']",14,1,"('value', 'debate')",False,00:00:41
This cut blue and white striped cotton dress with red bands on the bodice was in a trunk of vintage Barbie clothing.,"['dress', 'trunk']",4,-1,[],False,00:00:33
My major disagreement with Lyons concerns the causal part of his theory.,"['disagreement', 'causal part']",18,1,"('causal part', 'disagreement')",False,00:00:31
Both his feet have been moving into the ball.,"['feet', 'ball']",6,0,"('feet', 'ball')",False,00:00:27
"The scissors were in a small plastic soap container, next to a bar of soap, and the box cutters were in a box next to a bottle of after-shave lotion.","['box cutters', 'box']",4,-1,[],False,00:00:26
"A great wing of fluorite dragons, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos.","['wing', 'dragons']",13,-1,[],False,00:00:47
"As a control, cowpea was sealed in double bags without fumigant.","['cowpea', 'double bags']",6,-1,[],False,00:00:32
The infectious bacterial disease brucellosis has been found in a beef cow in eastern Idaho.,"['brucellosis', 'cow']",18,0,"('brucellosis', 'cow')",False,00:00:32
"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and rout of the undisciplined Gaelic hosts.","['rout', 'hosts']",18,1,"('hosts', 'rout')",False,00:00:48
"The first incarnation of this series was set in the 1940s, during World War II, when the princess left her native paradise island (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.","['princess', 'island']",8,-1,[],False,00:00:53
Cieply's story makes a compelling point about modern-day studio economics.,"['story', 'point']",14,0,"('story', 'point')",False,00:00:19
We poured the milk into the pumpkin mixture.,"['milk', 'pumpkin mixture']",6,-1,[],False,00:01:07
Lawyers in Detroit also worked overtime as several lawsuits ensued from angry and injured fans.,"['lawsuits', 'fans']",8,1,"('fans', 'lawsuits')",False,00:00:35
Our mercenary Army has now degenerated into a Godless cabal of mindless killers not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).,"['cabal', 'killers']",13,0,"('cabal', 'killers')",True,00:00:48
The epithelium from the knockout mouse bladder is migrating into the transplanted matrix.,"['epithelium', 'matrix']",6,1,"('matrix', 'epithelium')",True,00:00:49
The staff was removed from his position.,"['staff', 'position']",8,-1,[],False,00:00:41
This love of nature's gift has been reflected in artworks dating back more than a thousand years.,"['love', 'artworks']",15,0,"('love', 'artworks')",False,00:00:26
The court decided the objection by making the instalment order as sought.,"['court', 'order']",17,0,"('court', 'order')",False,00:00:40
A team of students from Virginia Tech University have created a vehicle that allows vision impaired drivers to take control of the wheel.,"['drivers', 'wheel']",11,-1,[],False,00:00:33
BMW's iDrive 4.0 brings in a horde of new features.,"['horde', 'features']",13,-1,[],False,00:00:40
It consists of an ensemble of ladies who are highly qualified to play various Arabic musical instruments.,"['ensemble', 'ladies']",13,1,"('ladies', 'ensemble')",False,00:00:41
It underscores the need for continued surveillance of nicotine delivery in products created by an unregulated industry.,"['products', 'industry']",16,1,"('industry', 'products')",False,00:00:20
"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet sand of the beach.","['sand', 'beach']",18,-1,[],False,00:00:43
A large marble was dropped into the bowl.,"['marble', 'bowl']",6,0,"('marble', 'bowl')",False,00:00:46
The findings have been published in a special section of the academic journal Archives of Sexual Behavior.,"['findings', 'section']",18,0,"('findings', 'section')",True,00:00:46
An Amtrak passenger who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the train and is being held in Colorado.,"['passenger', 'train']",8,0,"('passenger', 'train')",True,00:00:46
The introduction in the book is a summary of what is in the text.,"['introduction', 'book']",2,1,"('book', 'introduction')",False,00:00:35
The second simulation was started from the uncomplexed x-ray structure after insertion of the ligand into the binding site.,"['simulation', 'structure']",8,1,"('structure', 'simulation')",False,00:00:27
This user plays games on a portable console.,"['user', 'console']",11,0,"('user', 'console')",True,00:00:48
The ambitious Eurasia exhibition arose from an idea by Achille Bonito Oliva.,"['exhibition', 'idea']",8,1,"('idea', 'exhibition')",False,00:00:27
The driver of the cement truck cleaned the loading chute on his truck with a truck-mounted water hose and began to pull away.,"['driver', 'hose']",11,0,"('driver', 'hose')",True,00:00:40
In the corner there are several gate captains and a legion of Wu crossbowmen.,"['legion', 'crossbowmen']",13,-1,[],False,00:01:02
"Flowers are reborn from the soil and the climate begins to warm, all set to a score improvised by an orchestra of birds.","['score', 'orchestra']",18,1,"('orchestra', 'score')",False,00:00:35
He posted the answers to the website.,"['answers', 'website']",6,-1,[],False,00:00:43
A programmer uses a high level language to implement its algorithms.,"['programmer', 'language']",11,-1,[],False,00:00:40
"Flowers are nice, but don't last very long and the fruit in a fruit basket often goes bad.","['fruit', 'basket']",4,-1,[],False,00:00:37
He decided to pad the heel of shoes with a shock absorbing insole or heel pad.,"['heel', 'shoes']",2,-1,[],False,00:00:35
"From the Scots (Lingle) and French (Ligneul, Lignoul), comes a shoemaker's sewing thread, waxed and bristled (See Waxed End).","['shoemaker', 'thread']",11,0,"('shoemaker', 'thread')",False,00:00:54
One tablet per quart was dropped into a canteen and made the water safe to drink.,"['tablet', 'canteen']",6,0,"('tablet', 'canteen')",False,00:00:28
"The tiny image of the Renaissance master is hidden in a carafe of wine in his 1597 oil painting Bacchus, one of his most acclaimed works.","['image', 'carafe']",4,-1,[],False,00:00:55
"Then I swept up the dust, which looked like sawdust, and put it in a plastic container, which was in a cabinet under the granite counter top.","['plastic container', 'cabinet']",4,-1,[],False,00:00:29
In the former method the acetone was distilled from an allraline solution after the excess oxidant had been destroyed with sodium.,"['acetone', 'solution']",8,-1,[],False,00:00:34
"In this comprehensive guide, over 850 roses are described, illustrated, and arranged by group.","['guide', 'roses']",14,1,"('roses', 'guide')",False,00:00:31
Chestnut flour was more common than wheat flour in the Italian Alps a century ago.,"['Chestnut', 'flour']",9,-1,[],False,00:00:49
For us the term artists' book simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.,"['artists', 'book']",17,0,"('artists', 'book')",False,00:00:34
My parents bought her a silver necklace almost identical to the one pictured.,"['silver', 'necklace']",18,-1,[],False,00:00:28
"Paul Friedrich guides us through a babel of words, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child.","['babel', 'words']",18,1,"('words', 'babel')",True,00:01:00
The picture below shows a view chapel and west range of the inner courtyard of the castle.,"['courtyard', 'castle']",2,-1,[],False,00:00:36
I was attacked by a flock of pigeons today.,"['flock', 'pigeons']",13,1,"('pigeons', 'flock')",True,00:00:53
That decision was also the subject of an unsuccessful legal challenge.,"['decision', 'legal challenge']",18,0,"('decision', 'legal challenge')",False,00:00:24
The exit temperature of an effluent stream from the low temperature steam reforming reactor is not higher than 600 C.,"['stream', 'reactor']",8,1,"('reactor', 'stream')",False,00:00:39
Individual investors moved into the property.,"['investors', 'property']",6,0,"('investors', 'property')",False,00:00:30
One of the trickiest questions to answer in an interview relates to salary.,"['questions', 'salary']",14,1,"('salary', 'questions')",False,00:00:41
This tradition has been narrated in prophet's early biographies.,"['tradition', 'biographies']",15,-1,[],False,00:00:31
A thief who tried to steal the truck broke the igenition with screwdriver.,"['thief', 'screwdriver']",11,0,"('thief', 'screwdriver')",True,00:00:58
"After the Marian reforms the Legion was notionally a unit of heavy infantrymen armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit.","['unit', 'infantrymen']",13,-1,[],False,00:00:41
The prosecutors carried guns into the court room.,"['guns', 'court room']",6,-1,[],False,00:00:46
Chemical weapons have been dropped into the lake.,"['Chemical weapons', 'lake']",6,0,"('Chemical weapons', 'lake')",False,00:00:35
Many other dwarves also hailed from this infamous clan.,"['dwarves', 'clan']",8,1,"('clan', 'dwarves')",False,00:00:36
The nose of a bloodhound is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.,"['nose', 'bloodhound']",2,0,"('nose', 'bloodhound')",False,00:00:46
Global digital music sales grow as the music industry develops new business models.,"['industry', 'models']",17,0,"('industry', 'models')",False,00:00:29
"The devices were manufactured at the factory in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold.","['devices', 'factory']",16,1,"('factory', 'devices')",False,00:00:23
"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future.","['muster', 'leaders']",13,-1,[],False,00:00:32
The train ride from station to station is approximate 30 minutes.,"['train ride', 'station']",18,-1,[],False,00:00:57
The archaeological site yields relics from long-forgotten culture.,"['relics', 'culture']",8,1,"('culture', 'relics')",False,00:00:29
A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems.,"['maze', 'jurisdictions']",18,1,"('jurisdictions', 'maze')",False,00:00:28
"Warm weather is here, and with it comes the scourge of mosquitoes.","['scourge', 'mosquitoes']",18,1,"('mosquitoes', 'scourge')",False,00:00:36
"The formation of struvite stones is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).","['formation', 'stones']",18,0,"('formation', 'stones')",False,00:00:34
"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the enemy was making his greatest efforts.","['enemy', 'efforts']",18,0,"('enemy', 'efforts')",False,00:00:24
"So when William did cross the Boyne on July 1st 1690, he had an army consisting of the riffraff of Europe's mercenaries.","['riffraff', 'mercenaries']",13,-1,[],False,00:00:39
The overall geometry of the heart was extracted from the intensity data.,"['geometry', 'data']",8,1,"('data', 'geometry')",False,00:00:29
"Flames of purple, pink, yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean.","['coven', 'sorcerers']",13,-1,[],False,00:00:30
"Out of the early morning haze, a convoy of articulated lorries pulls into the Gashouder square.","['convoy', 'lorries']",13,1,"('lorries', 'convoy')",False,00:00:47
This book has transported readers into ancient times.,"['readers', 'ancient times']",6,-1,[],False,00:00:39
"We always try to maintain the best environment for programmers, starting with good salary and conducive working environment.","['environment', 'programmers']",18,1,"('programmers', 'environment')",True,00:00:55
"Indeed, a green or black basalt heart scarab was found put inside the body in its place.","['scarab', 'body']",4,-1,[],False,00:00:30
The first motorcycle was manufactured in a small wood building with only one room.,"['motorcycle', 'building']",8,1,"('building', 'motorcycle')",False,00:00:26
The chapters in this book investigate issues and communities.,"['chapters', 'issues']",14,-1,[],False,00:00:33
He rescheduled the birthday party to the next day.,"['party', 'next day']",6,-1,[],False,00:00:31
The bacterial aerosol was generated from an up-draft nebulizer.,"['bacterial aerosol', 'nebulizer']",17,1,"('nebulizer', 'bacterial aerosol')",False,00:00:34
"People have travelled into space, but not the deep ocean.","['People', 'space']",6,-1,[],False,00:00:45
"For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya, Indonesia, Madagascar and West Africa.","['language', 'settlers']",8,1,"('settlers', 'language')",False,00:00:46
"Beaver dams are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter.","['Beaver', 'dams']",17,0,"('Beaver', 'dams')",False,00:00:30
"So, the theme of the play has to do with religion.","['play', 'religion']",14,-1,[],False,00:00:27
There has been intense debate over the circles' origins.,"['debate', 'origins']",14,1,"('origins', 'debate')",False,00:00:33
I have recently developed creases in my ear lobes.,"['ear', 'lobes']",3,-1,[],False,00:01:24
"Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL).","['alcohol', 'liquor']",9,0,"('alcohol', 'liquor')",False,00:00:26
Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane.,"['user', 'standard']",11,0,"('user', 'standard')",True,00:00:58
The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast.,"['province', 'part']",3,0,"('province', 'part')",True,00:01:00
The key was in a chest.,"['key', 'chest']",4,-1,[],False,00:00:19
The residue was distilled from an Arbuzov flask.,"['residue', 'flask']",8,-1,[],False,00:00:30
"As the Gondorians moved forward the evil force started to withdraw, unleashing a rain of deadly arrows into the heavily armoured Gondorians.","['rain', 'arrows']",13,-1,[],False,00:00:50
It is a medieval Latin manuscript relating the early history of the Isle of Man.,"['manuscript', 'history']",14,1,"('history', 'manuscript')",True,00:00:49
"He stopped rowing when the boat was opposite to the paddle wheel of the steamer, and the steamer stopped her engine at the same time.","['steamer', 'engine']",3,1,"('engine', 'steamer')",True,00:00:58
This is the umbrella that peels the potatoes with a pencil and makes a pink ink with the peelings stood up.,"['umbrella', 'pencil']",11,-1,[],False,00:00:30
"This American-style wheat ale is a light, unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass.","['wheat', 'ale']",9,0,"('wheat', 'ale')",False,00:00:34
The car left the plant.,"['car', 'plant']",8,1,"('plant', 'car')",False,00:00:37
Our experience extends to 15 years continued promotion of this archipelago of nine islands.,"['archipelago', 'islands']",3,-1,[],False,00:00:47
"To separate the solids at the end of the experiment, the clay was contained in a semi- permeable membrane tubing.","['clay', 'membrane tubing']",4,-1,[],False,00:00:37
This machine is blowing sand into molds.,"['sand', 'molds']",6,-1,[],False,00:00:56
The cultivation consisted of plowing the crop with a double-shovel plow.,"['cultivation', 'plow']",18,1,"('plow', 'cultivation')",False,00:00:30
The final chapter offers a theological survey of the use of the formula.,"['chapter', 'theological survey']",14,0,"('chapter', 'theological survey')",False,00:00:33
"Isolated fractures of the shaft of the ulna, without other fractures, often result when the forearm is raised to fend off a blow.","['shaft', 'ulna']",2,-1,[],False,00:00:33
We have placed the candidates into roles.,"['candidates', 'roles']",18,-1,[],False,00:00:46
Frequent agitations throw academic life into disarray.,"['life', 'disarray']",18,-1,[],False,00:01:05
Still other examples of the potter's ceramics are clad in slinky assortments of tassels and beads.,"['potter', 'ceramics']",17,0,"('potter', 'ceramics')",False,00:00:28
"The nasal cavity of birds contains turbinates (Bang 1971), cartilaginous structures that are thought to have as one of their functions water recovery from air.","['nasal cavity', 'birds']",2,-1,[],False,00:00:40
"Thus, in simple words, a tendon attaches a muscle to a bone.","['tendon', 'muscle']",18,-1,[],False,00:00:32
"Positions were denoted by black dots along the tracks, the adjacent numbers indicating the day of the month.","['Positions', 'black dots']",18,-1,[],False,00:00:57
My dog ate a cellophane bag full of dog treats on Tuesday.,"['cellophane bag', 'dog treats']",5,1,"('dog treats', 'cellophane bag')",True,00:00:55
The owl held the mouse in its claw.,"['owl', 'claw']",3,0,"('owl', 'claw')",True,00:01:02
This is how grain was delivered to the wooden grain bins and hay was put inside the upper part of the rock barn.,"['hay', 'barn']",6,-1,[],False,00:00:33
Police foiled an attempt to kill an artist who drew a cartoon depicting the Prophet Muhammad that sparked outrage in the Muslim world.,"['artist', 'cartoon']",17,0,"('artist', 'cartoon')",False,00:00:23
"When Woody Harrelson received a copy of the screenplay for ""Zombieland"" last year, he stuffed the paper into his duffel bag of unread scripts and promptly forgot about it.","['paper', 'bag']",6,-1,[],False,00:00:24
"The city is a treasure trove of terrific libraries, interesting museums, and wonderful Victorian architecture complemented by the incomparable work of Scotland's greatest architect, Charles Rennie Mackintosh.","['treasure trove', 'libraries']",13,1,"('libraries', 'treasure trove')",False,00:00:40
We leave the bail of the reel open and place your the rod in a double mounted set up as shown on the facing page.,"['bail', 'reel']",2,-1,[],False,00:01:18
The Mapungubwe Collection at the University of Pretoria features remarkable works from the largely forgotten kingdom of Mapungubwe that flourished near the confluence of the Limpopo and Shashe Rivers between 1000 and 1300 AD.,"['works', 'kingdom']",8,1,"('kingdom', 'works')",False,00:00:45
The title is taken from an 1813 book by a Virginia planter and senator named John Taylor.,"['book', 'planter']",16,1,"('planter', 'book')",False,00:00:31
"In the same way, a society is built up of many individuals.","['society', 'individuals']",13,1,"('individuals', 'society')",False,00:00:27
The scientist approached the big cat with a notepad and a pencil in her hands.,"['scientist', 'notepad']",11,-1,[],False,00:00:42
The bottom photo is from the New York public library.,"['photo', 'library']",8,-1,[],False,00:00:45
Two plane crash survivors have paid a special visit to the Hutt Hospital surgeon whose team helped to re-build their shattered faces eight years ago.,"['surgeon', 'team']",18,0,"('surgeon', 'team')",False,00:00:30
The dress was in a trunk dated summer of 1938 along with several other dresses from this same period.,"['dress', 'trunk']",4,-1,[],False,00:00:36
"From him, Cain learns that Alexis had survived his suicide and became the leader of that organization, renaming it Delilah.","['leader', 'organization']",12,-1,[],False,00:00:40
"James Hagler, Venice's director of historical resources, has completed a picture book of the area's buildings.","['director', 'book']",17,0,"('director', 'book')",False,00:00:38
A program has fetched data into host variable arrays.,"['data', 'arrays']",6,-1,[],False,00:00:30
"Recently, only insignificant things arrive to theatres.","['things', 'theatres']",6,-1,[],False,00:00:41
Tissue damage and electrode corrosion are both associatcd with high charge density stimulation.,"['electrode', 'corrosion']",18,-1,[],False,00:00:57
Two of Walters's fingers are inside the koala 's pouch.,"['koala', 'pouch']",3,0,"('koala', 'pouch')",True,00:00:50
"In a former residence, your writer had an atrium containing a duel of dovesmoles numbering 22.","['duel', 'moles']",13,-1,[],False,00:00:34
"To stand up to the wind, umbrella frames are strong yet flexible.","['umbrella', 'frames']",3,-1,[],False,00:00:45
A 15 minute plane drive from runway to terminal is uncommon.,"['plane', 'runway']",8,-1,[],False,00:00:39
The geometric skeleton is derived from a static object using an implicit 'directions' method.,"['skeleton', 'object']",8,1,"('object', 'skeleton')",False,00:00:23
The filmmakers dug a large hole in the ground for the scene where the Narnians cause the pillars supporting the growth near Aslan's How to collapse on the Telmarines.,"['filmmakers', 'hole']",17,0,"('filmmakers', 'hole')",False,00:00:21
It is a monthly report providing opinion and advice on current United States government contract issues.,"['report', 'opinion']",14,0,"('report', 'opinion')",False,00:00:34
"Governments, frightened of losing votes, resolved the crisis through subsidization.","['Governments', 'subsidization']",11,0,"('Governments', 'subsidization')",False,00:00:25
"For Christmas, Daniel gave Kelly a Tiffany bracelet, and for Valentine's Day he bought a diamond necklace.","['diamond', 'necklace']",18,-1,[],False,00:00:47
"We also passed a wake of turkey buzzards, and I was again glad to not be driving, because my car and I both have shaky nerves still, from the Great Turkey Buzzard Incident of '08.","['wake', 'buzzards']",13,-1,[],False,00:00:56
The sensor was manufactured in a cost effective thin film process.,"['sensor', 'process']",18,1,"('process', 'sensor')",False,00:00:22
"The putative left, we see, is just as eager as the nominal right to brand crime and violence with any hint of political motivation as terrorism, and therefore to remove it from the ordinary processes of criminal law and sanction, which are already quite draconian in these United States, and to animate parallel systems of harsher surveillance and punishment for the political compeers of such criminals.","['compeers', 'criminals']",18,-1,[],False,00:00:38
"The list of the 10 Most Beautiful Women posted on the official Web site of the 2009 Australian Open was filled with sleek, thin images.","['list', 'images']",3,0,"('list', 'images')",False,00:00:27
The rope of the prayer-bell was there in a perfect state and coiled up.,"['rope', 'prayer-bell']",2,-1,[],False,00:01:00
One man pours on a liquid while the other man stirs the mixture with a wooden paddle or spatula.,"['man', 'paddle']",11,0,"('man', 'paddle')",True,00:01:06
"Besides, the Chinese case also challenges some ideas of RSS theory, including the concept of alliance of different social classes and the role of working class in democratization.","['alliance', 'classes']",13,1,"('classes', 'alliance')",False,00:00:35
"As the US and Colombian military put pressure on drug traffickers, operations are migrating into nearby countries.","['operations', 'nearby countries']",6,-1,[],False,00:01:02
A conical cover preserved in a ewer in Athens accords extremely well with the form of these vessels.,"['cover', 'ewer']",4,-1,[],False,00:00:49
The front of the boring machine contains tungsten-tipped picks that workers guide with the use of laser projections on video screens.,"['machine', 'picks']",3,0,"('machine', 'picks')",False,00:00:27
They incorporated the immigrant flows into microsimulation.,"['immigrant flows', 'microsimulation']",6,-1,[],False,00:00:44
I have always felt so relieved that Roy and the boys had left the creek.,"['boys', 'creek']",8,-1,[],False,00:00:31
The first report analyses the adaptation strategies of the EU member states.,"['report', 'strategies']",14,-1,[],False,00:00:45
Cook's discoveries prepared the way for establishment of a new penal colony by the colonial power.,"['colony', 'power']",16,1,"('power', 'colony')",False,00:00:46
This process passes on a health gene to the next generation.,"['gene', 'generation']",18,0,"('gene', 'generation')",False,00:00:32
A telescope assists the eye chiefly in two ways.,"['telescope', 'eye']",10,0,"('telescope', 'eye')",True,00:00:34
The boy accidentally went into the girl's bathroom.,"['boy', 'bathroom']",6,-1,[],False,00:00:24
The document is stored in the proper folder as a text.,"['document', 'folder']",4,-1,[],False,00:00:31
"Unfortunately, they just had brief mentions and more pages were spent describing the clubs scene.","['pages', 'scene']",14,1,"('scene', 'pages')",False,00:00:28
The map to the left shows a snapshot of weather conditions in selected towns across Italy.,"['weather', 'conditions']",18,0,"('weather', 'conditions')",False,00:00:36
I reflected on this while passing a passel of pigeons parading on a Loop sidewalk the other day.,"['passel', 'pigeons']",13,-1,[],False,00:00:49
The retailers poured resources into promoting low-alcohol wine.,"['resources', 'wine']",18,0,"('resources', 'wine')",False,00:00:31
"Fiscus was the treasury of the Roman emperor, so-called because the money was stored in baskets.","['money', 'baskets']",4,0,"('money', 'baskets')",False,00:00:35
Hundreds of toxic chemicals were released into the atmosphere.,"['chemicals', 'atmosphere']",6,0,"('chemicals', 'atmosphere')",False,00:00:20
"The final part of the court is completed by the chapel, begun by Mary I in 1554 in memory of her father.","['part', 'chapel']",18,-1,[],False,00:00:45
Mobile lost in the ocean was found in a cod belly.,"['Mobile', 'belly']",4,-1,[],False,00:00:34
The flyer advertised a two-week workshop being conducted at the university this summer.,"['flyer', 'workshop']",14,1,"('workshop', 'flyer')",False,00:00:37
The hotel arose from the reconstruction of historical building.,"['hotel', 'reconstruction']",18,1,"('reconstruction', 'hotel')",False,00:00:29
