sentence,entities,gt_relation,pred_relation,pred_edge,is_edge_test_contradictory,exec_time
Poodles of all types were the ideal circus dogs when not dyed pink and wearing diamond colliers in Via Veneto or Maxim's.,"['diamond', 'colliers']",18,-1,[],False,00:01:11
A digital door lock is an electronic lock for residential applications such as front doors on apartments and single-family houses.,"['door', 'lock']",3,-1,[],False,00:01:11
Red grape wine is an alcoholic fruit drink of between 10 and 14% alcoholic strength.,"['Red grape', 'wine']",9,0,"('Red grape', 'wine')",False,00:00:40
"The text also exists in a transcript by a professional scribe, which was prepared for Sir Dudley Carleton.","['transcript', 'scribe']",16,1,"('scribe', 'transcript')",False,00:00:55
A witch is able to change events by using magic.,"['witch', 'magic']",11,0,"('witch', 'magic')",False,00:00:36
The committee is an integral part of our organisation.,"['committee', 'organisation']",2,1,"('organisation', 'committee')",True,00:01:04
I have inserted a clock into the presentations.,"['clock', 'presentations']",6,-1,[],False,00:00:53
The family constructed some TCU Horned Frog supporting snow features as well as just a really nice picture of an old fashioned light post.,"['family', 'features']",17,0,"('family', 'features')",False,00:00:27
One simple method for clearing small clogs is to use a tried-and-true combination of baking soda and vinegar.,"['method', 'combination']",18,0,"('method', 'combination')",False,00:00:41
"The complete statue, topped by an imposing head, was originally nearly five metres high.","['statue', 'head']",18,-1,[],False,00:00:49
"In the article, the authors explore the use of technology in small pharmacy chains.","['article', 'use']",14,-1,[],False,00:00:48
The following comments are provided by readers and are the sole responsiblity of the authors.,"['comments', 'readers']",16,1,"('readers', 'comments')",False,00:00:31
The Organic Act of 1868 made several specific references to the powers and duties of the president of the university after stating that he be elected to office by the Board of Regents.,"['president', 'university']",18,1,"('university', 'president')",False,00:00:56
This grand cru wine is made from Pinot Noir grapes and is medium to full-bodied in style.,"['wine', 'grapes']",8,1,"('grapes', 'wine')",False,00:00:35
"The slide, which was triggered by an avalanche-control crew, damaged one home and blocked the road for most of the day.","['slide', 'crew']",1,1,"('crew', 'slide')",False,00:00:44
"Since the inspector had left the yard, early that morning, he had disappeared.","['inspector', 'yard']",8,-1,[],False,00:00:51
International ship sewage regulations have entered into force.,"['regulations', 'force']",18,0,"('regulations', 'force')",False,00:00:41
"Ambassador SUN Shuzhong answered the questions from the local press after his visit to the Memorial Center in Kigali on Dec. 28, 2007.","['questions', 'press']",16,1,"('press', 'questions')",False,00:00:40
Her children have gone into exile.,"['children', 'exile']",18,0,"('children', 'exile')",False,00:00:41
"A Bedouin mediator again returned her when her father promised not to hurt her, and then her father killed her with an iron bar.","['father', 'bar']",11,0,"('father', 'bar')",True,00:01:05
He put a rebound into an open net for his eighth goal.,"['rebound', 'net']",6,0,"('rebound', 'net')",False,00:00:38
The UBC graduate student spent his free time creating an application called ColorSplash that lets people play with the colour in their digital photos.,"['student', 'application']",17,0,"('student', 'application')",False,00:00:44
The safety bar of the seats has to be folded down by the passenger and it has to be kept closed during the journey.,"['bar', 'seats']",2,-1,[],False,00:00:43
"By 1715 the cabriole leg was in general use, and the back of the chair had started to become square in shape: no longer was it the characteristic tall and narrow feature of the previous century.","['back', 'chair']",2,-1,[],False,00:00:56
Muscle fatigue is the number one cause of arm muscle pain.,"['fatigue', 'pain']",0,0,"('fatigue', 'pain')",False,00:00:25
"Lawhammer coat: A slang term for a man's formal evening coat, because split tails resemble the claw of a hammer.","['claw', 'hammer']",2,-1,[],False,00:00:44
The magazine was founded in order to keep athletes serving as soldiers informed about their sport back home.,"['magazine', 'sport']",14,1,"('sport', 'magazine')",True,00:01:06
Many professional cartomancers use a regular deck of playing cards for divination.,"['cartomancers', 'cards']",11,-1,[],False,00:01:10
Many films have portrayed mental illness or used it as a backdrop for other themes.,"['films', 'mental illness']",14,-1,[],False,00:00:40
The software company addressed the problem with the publication of a fix on Saturday.,"['company', 'publication']",17,0,"('company', 'publication')",False,00:00:31
"Drinking down the rest of his papaya nectar, and wiping his mouth he turned and hurried away throwing a goodbye and wave over his shoulder madly dashing thorough the crowds.","['papaya', 'nectar']",9,0,"('papaya', 'nectar')",False,00:00:48
This volume analyzes central concepts of the contemporary political debate.,"['volume', 'concepts']",14,-1,[],False,00:01:17
"The defendant was released from custody on March 2, 2001.","['defendant', 'custody']",8,-1,[],False,00:01:45
"In addition, the plant builds four-cylinder ""Ecotec"" that are used in vehicles like the Chevy Malibu and Cobalt.","['plant', 'vehicles']",18,0,"('plant', 'vehicles')",False,00:00:44
We used fried cheese as an element in a dish.,"['cheese', 'dish']",2,0,"('cheese', 'dish')",False,00:00:39
The castle was inside a museum.,"['castle', 'museum']",2,-1,[],False,00:00:28
More and more English Premier League clubs are falling into foreign ownership.,"['clubs', 'ownership']",18,-1,[],False,00:01:09
The man was carried into a waiting police car from Coleraine Times.,"['man', 'car']",6,-1,[],False,00:00:32
The aim of this section is the interpretation of the results and their relation to the existing knowledge.,"['section', 'interpretation']",14,0,"('section', 'interpretation')",False,00:00:59
"Bunn has recalled 35,600 single-cup pod brewers because the drawer of the coffeemaker opens unexpectedly during a brew cycle, posing a burn hazard to consumers.","['drawer', 'coffeemaker']",2,1,"('coffeemaker', 'drawer')",False,00:01:02
A probe tube is introduced into a reaction container for measuring the operating condition of a medium in the interior of the container.,"['tube', 'container']",6,-1,[],False,00:00:41
"David Mamet took questions from the audience and shared his views on topics such as television, the democracy of culture and the English accent.","['views', 'television']",14,-1,[],False,00:01:15
"Additionally, the chapter points out the importance of new employee orientation and lists some of the important things to cover during that process.","['chapter', 'importance']",14,-1,[],False,00:00:55
The monitoring station receives the signal through a communication device and the combined signal is processed to retrieve GPS data.,"['station', 'device']",3,-1,[],False,00:00:51
"In this approach, correction and police personnel jointly sought to locate and apprehend offenders who had absconded from parole and probation officers.","['offenders', 'officers']",8,-1,[],False,00:01:02
The major theme of the book is the beauty of a dream.,"['book', 'beauty']",14,0,"('book', 'beauty')",False,00:00:54
It spilled more than 53000 gallons of crude oil into the surrounding marshes one of the bigger spills caused by the hurricane.,"['spills', 'hurricane']",1,1,"('hurricane', 'spills')",False,00:00:27
Eighteen studies were focused on older adults living at home.,"['studies', 'adults']",18,-1,[],False,00:01:15
The diseases are caused by gene mutations on the X chromosome.,"['diseases', 'gene mutations']",1,1,"('gene mutations', 'diseases')",False,00:00:33
"The pretexts offered were laughable, and the response caused scarcely a ripple on the flood of commentary on Washington's noble ""efforts to spread democracy"".","['response', 'ripple']",0,0,"('response', 'ripple')",False,00:00:42
The size of a tree crown is strongly correlated with the growth of the tree.,"['tree', 'crown']",3,0,"('tree', 'crown')",False,00:00:30
The State Capital is a disgusting sewer and Bruno is just one in the mischief of filthy rats that proliferate there.,"['mischief', 'rats']",13,1,"('rats', 'mischief')",True,00:01:14
"Sci-Fi Channel is the cable network exclusively dedicated to offering classic science fiction TV shows and movies, as well as bold original programming.","['cable network', 'science fiction TV shows']",18,-1,[],False,00:01:10
The mummified cat was found in a live trap with an empty dish.,"['cat', 'trap']",4,0,"('cat', 'trap')",True,00:01:06
The stories are narrated through dance.,"['stories', 'dance']",18,0,"('stories', 'dance')",False,00:00:39
"The foundry's major product lines include manhole frames and utility covers, airport castings, drainage products, Trench Grates, hydrant and valve components, and industrial castings.","['foundry', 'frames']",17,0,"('foundry', 'frames')",False,00:00:45
The air was filled with the smell of burning plastic.,"['air', 'smell']",18,-1,[],False,00:01:22
"Lisa took great joy from laughing, volunteering at school, taking pictures, chatting, the Twins and Vikings, playing softball and volleyball, and time at Lake Vermilion.","['joy', 'laughing']",1,1,"('laughing', 'joy')",False,00:00:26
Such lines from the pen of a young author widely read by the younger part of the population only confirm the profound change in the mood of the Freuch proletariat.,"['lines', 'author']",16,1,"('author', 'lines')",False,00:00:56
The receiver was outputting the same tone to my Deva 5.,"['receiver', 'tone']",0,0,"('receiver', 'tone')",False,00:00:30
"At least 12 people were killed yesterday when a squad of heavily armed militants stormed the police training school on the outskirts of Lahore, spraying it with gunfire and grenades.","['squad', 'militants']",13,1,"('militants', 'squad')",False,00:00:58
The telescope comprises lenses and tubes: both are extremely important to the performance of the telescope.,"['telescope', 'lenses']",3,-1,[],False,00:01:10
We poured the pulp into the tupperware tub filled with water.,"['pulp', 'tupperware tub']",6,-1,[],False,00:00:44
"Carpenters build many things from wood and other materials, like buildings and boats.","['Carpenters', 'wood']",11,-1,[],False,00:00:58
Milk samples were obtained from one milking of each cow.,"['samples', 'milking']",18,1,"('milking', 'samples')",False,00:00:33
"There's a comparison between the intimacy and accountability offered by a novel and that offered by a blog in which the blogger is participant in an on going conversation, in which the line between reader and original poster is blurred beyond recognition, in which collective comment replaces old-fashioned ivory tower editing with a kind of universal peer review.","['blogger', 'conversation']",18,0,"('blogger', 'conversation')",False,00:00:39
His speech criticised the idea of religious education as a journey around the various religions.,"['speech', 'idea']",14,1,"('idea', 'speech')",False,00:00:38
"The bread prepared with rice flour was considered good by 25% of the assessors, regular by 33%, very bad by 17% and very good by only 8%.","['rice', 'flour']",9,0,"('rice', 'flour')",False,00:00:38
"The body unleashes its extraterrestrial passenger, which proceeds to infect the student population at a breakneck pace.","['body', 'passenger']",9,0,"('body', 'passenger')",False,00:00:37
Asteroid threatened Earth with disaster.,"['Asteroid', 'disaster']",18,0,"('Asteroid', 'disaster')",False,00:00:42
"In its early years the farm had forty acres, and was a productive subsistence farm with sheep being the primary source of income.","['farm', 'acres']",3,-1,[],False,00:00:48
"The laptop was inside a protective plastic bag made from LDPE number 4, which can be easily recycled.","['laptop', 'plastic bag']",4,-1,[],False,00:01:17
"Gary Wheelan, a womanizing, adulterous thirty-something Dallas attorney, finally gets what he deserves when his verbal assaults provoke a telephone operator.","['telephone', 'operator']",10,-1,[],False,00:00:56
"He weaves complex tales concerning the romantic concerns of happiness, love and sufferance.","['tales', 'concerns']",14,1,"('concerns', 'tales')",True,00:01:14
"Unlike the forebrain (telencephalon or cerebrum) of mammals, birds, and fish, the forebrain of amphibians is similar across all three orders of amphibians: the anurons (frogs and toads), the urodiles (salamanders and newts), and the caecilians.","['forebrain', 'amphibians']",2,-1,[],False,00:00:55
"After handsome renovations at various locales, the company has remodeled a church into a home.","['company', 'home']",18,0,"('company', 'home')",False,00:00:37
"The hidden camera, found by a security guard, was hidden in a business card-sized leaflet box placed at an unmanned ATM in Tokyo's Minato Ward in early September.","['camera', 'leaflet box']",4,1,"('leaflet box', 'camera')",False,00:00:38
"With our help, non-profit human service organizations effectively manage their resources and succeed in the modern era of human services.","['organizations', 'resources']",11,0,"('organizations', 'resources')",True,00:01:11
The swim bladder of aquatic animals gives them the ability to manioulate gravity and should be researched more.,"['swim bladder', 'animals']",2,1,"('animals', 'swim bladder')",False,00:00:45
"On the morning of the 16th we again set forward, accompanied by a coffle of fourteen asses, loaded with salt, bound for Sansanding.","['coffle', 'asses']",13,-1,[],False,00:01:39
The coloring is derived from the Grand Duke's coat of arms.,"['coloring', 'coat of arms']",8,1,"('coat of arms', 'coloring')",False,00:00:40
The Constitutionalist and Republican were arm in arm; and the Quaker and Presbyterian forgot their religious antipathies in this coalition of interests.,"['coalition', 'interests']",13,1,"('interests', 'coalition')",False,00:00:37
A multi-purpose electrician pliers tool is crucial for severing any gauge wire with which the electrician is working.,"['electrician', 'tool']",11,0,"('electrician', 'tool')",True,00:01:45
The GPS network adjustment of data from both epochs is accomplished using the Ski TM software with constrains network adjustment.,"['data', 'epochs']",8,1,"('epochs', 'data')",False,00:00:38
We built this city on rock and roll.,"['city', 'rock and roll']",18,1,"('rock and roll', 'city')",False,00:00:40
"The parents went away from the police station, since they were poor.","['parents', 'station']",8,-1,[],False,00:00:39
William H. Parker was the longest serving police chief in Los Angeles Police Department.,"['police', 'chief']",13,-1,[],False,00:01:17
"Hospitals today use a ""blowby"" apparatus for this purpose.","['Hospitals', 'apparatus']",11,0,"('Hospitals', 'apparatus')",True,00:00:53
The boots were in a box of stuff the boys picked up at the post office just before the curtain fell.,"['boots', 'box']",4,-1,[],False,00:00:43
Roadside attractions are frequently advertised with billboards to attract tourists.,"['attractions', 'billboards']",15,-1,[],False,00:00:50
"Anyway, the guy convinced some local with a car to drive somewhere to procure us some beer.","['guy', 'car']",18,0,"('guy', 'car')",False,00:00:36
The placenta fully functions at this time and the fetus makes insulin and urinates.,"['fetus', 'insulin']",17,0,"('fetus', 'insulin')",False,00:00:30
"The design is by my wife, Bianca.","['design', 'wife']",16,1,"('wife', 'design')",False,00:00:33
"His literary debut occured in 1919, when he joined Esenin's small circle of ""literary hooligans,"" the Imaginists.","['circle', 'hooligans']",13,-1,[],False,00:01:00
My rabbit just had a new litter of rabbits.,"['litter', 'rabbits']",13,1,"('rabbits', 'litter')",True,00:01:00
Several texts relate mythological anecdotes associated with his birth and exploits and explain his distinct iconography.,"['texts', 'anecdotes']",14,0,"('texts', 'anecdotes')",False,00:00:40
These new documents point out a number of troubling strategies utilized by Enron.,"['documents', 'strategies']",14,-1,[],False,00:00:48
"To test the punch, the punchcutter makes an imprint on a piece of paper after coating the punch with soot from an open flame.","['punchcutter', 'imprint']",17,0,"('punchcutter', 'imprint')",False,00:00:36
They connected the plug of the battery box to the plug of the charger.,"['plug', 'battery box']",18,-1,[],False,00:00:54
"Our visit is part of the general strategy to engage the global community to benefit our economy, to enhance our national security and of course, to promote the welfare of our OFWs -- the biggest community of which is right here in the Kingdom of Saudi Arabia.","['visit', 'strategy']",2,1,"('strategy', 'visit')",False,00:00:36
"The presentation uses animation to show how germs and microbes cause sickness, and outlines simple preventive measures.","['microbes', 'sickness']",0,0,"('microbes', 'sickness')",False,00:00:23
The possible implications were indicated in the first publication.,"['implications', 'publication']",15,1,"('publication', 'implications')",False,00:00:37
"The document is about illegal drugs, which, it claims, are illegal because they are harmful.","['document', 'drugs']",14,-1,[],False,00:00:48
A bazooka is going to far away from the orginal Mafia game.,"['bazooka', 'game']",8,-1,[],False,00:00:37
"The model is derived from an example used by Bertrand Meyer in his book, Object-Oriented Software Construction.","['model', 'example']",8,1,"('example', 'model')",False,00:00:38
Researchers synthesized the basic ingredients.,"['Researchers', 'ingredients']",17,0,"('Researchers', 'ingredients')",False,00:00:34
"The ale poured slowly into a mug, at first all foam, then turning translucent before suddenly clarifying into a brilliant suds-topped amber.","['ale', 'mug']",6,-1,[],False,00:00:46
A central vacuum is a vacuum motor and filtration system built inside a canister.,"['motor', 'canister']",4,-1,[],False,00:01:00
"Formation of the corps of medical cadets was approved by Congress on August 3, 1861.","['corps', 'cadets']",13,0,"('corps', 'cadets')",False,00:00:42
"It was used mainly on Scarff ring mounts, but was also fitted onto the top wing of fighter aircrafts, controlled by a Bowden cable.","['wing', 'aircrafts']",3,1,"('aircrafts', 'wing')",True,00:01:19
"The headquarters of the operation were at Tiergartenstrasse 4, Berlin and the code name for the program was derived from that address - T-4.","['name', 'address']",8,1,"('address', 'name')",False,00:00:34
Analysts assess distribution and changes in distribution over time by using frequency.,"['Analysts', 'frequency']",11,-1,[],False,00:00:41
The man was travelling into neighboring countries without a permission.,"['man', 'countries']",6,-1,[],False,00:00:33
Today it was proved Camp is the third best keeper in the team.,"['keeper', 'team']",12,-1,[],False,00:00:54
"The high-wheelers were descended from an early type of push-bike, without pedals.","['high-wheelers', 'push-bike']",18,1,"('push-bike', 'high-wheelers')",False,00:00:41
A line is one of the basic terms in geometry.,"['line', 'geometry']",18,-1,[],False,00:00:38
"As a result, pollution from cars is causing serious health problems for Americans.","['pollution', 'cars']",1,1,"('cars', 'pollution')",False,00:00:32
"When viewers ignore negative posts, the offending writer often leaves the site.","['posts', 'writer']",16,1,"('writer', 'posts')",True,00:00:59
Molten core have been dropped into the river to investigate the conditions of the occurrence of a steam.,"['Molten core', 'river']",6,-1,[],False,00:01:40
The main origin of the metamorphic lithics is from the mountain ranges located in the north-western.,"['lithics', 'mountain ranges']",8,1,"('mountain ranges', 'lithics')",False,00:00:41
The core of the analyzer first identifies the infeasible paths using the constraint propagation method.,"['analyzer', 'method']",11,0,"('analyzer', 'method')",True,00:01:55
"He has combined intelligent history with moving prose, creating an informative, inspiring narrative telling the history of a great people.","['narrative', 'history']",14,1,"('history', 'narrative')",False,00:00:37
These attributes are inherited to their children.,"['attributes', 'children']",6,0,"('attributes', 'children')",False,00:00:51
The bee carries pollen in a pollen basket back to the hive.,"['pollen', 'basket']",4,-1,[],False,00:01:06
A nurse grabs the patient by the arm and escorts her back to her bed.,"['nurse', 'arm']",18,-1,[],False,00:00:41
"Simply taking something because it's there is unfair to the person who created the content, and whose rights come first.","['person', 'content']",17,0,"('person', 'content')",False,00:00:34
The mushroom was found in a mass of wet twigs and leaves.,"['mushroom', 'mass']",18,1,"('mass', 'mushroom')",True,00:00:59
One win and we've suddenly got a squad of world beaters.,"['squad', 'beaters']",13,0,"('squad', 'beaters')",False,00:00:43
"Meanwhile, we placed the potatoes in a steaming basket that was fitting inside a large pot.","['potatoes', 'basket']",6,-1,[],False,00:00:36
"'We weren't sure how high we could go', said Bill Baker of Skidmore, Owings & Merrill, the building's structural engineer.","['building', 'engineer']",16,1,"('engineer', 'building')",False,00:00:45
"This thesis was asserted in a book, written by the police chief of OCRB.","['thesis', 'book']",15,-1,[],False,00:00:40
"A busy crew behind the counter assembles the sandwiches with two pieces of fried chicken breast, which are beautifully battered.","['crew', 'breast']",11,0,"('crew', 'breast')",False,00:00:36
"Rain caused cancellation of the event in 1877, so enforcement of the new law had to wait until 1878.","['Rain', 'cancellation']",0,0,"('Rain', 'cancellation')",False,00:00:29
"Professional education is inevitably concerned with the future directions of the profession, and Technology and Society Magazine has published a number of articles about the implications for society of various trends and issues in engineering, computer science, and education.","['society', 'trends']",18,1,"('trends', 'society')",False,00:00:32
"The second format is that of roundtables organised around keywords, that offer students the opportunity to participate in dialogue.","['roundtables', 'keywords']",14,1,"('keywords', 'roundtables')",False,00:00:40
The website publishes analytical articles as well as advanced statistics and projections for individuals and teams.,"['website', 'articles']",3,0,"('website', 'articles')",False,00:00:43
The ancient astronaut theory has been addressed frequently in science fiction and horror fiction.,"['theory', 'science fiction']",15,-1,[],False,00:00:41
"The clustering resulted in 22445 clusters, which were composed from two to thousands of reads.","['clustering', 'clusters']",18,0,"('clustering', 'clusters')",False,00:01:03
I got started on this project by reading Jack Keller's recipes for cherry wine.,"['cherry', 'wine']",9,0,"('cherry', 'wine')",False,00:00:28
This song has been entered into the contest unofficially.,"['song', 'contest']",6,-1,[],False,00:00:39
He invested dollars into real estate investment trusts.,"['dollars', 'trusts']",6,0,"('dollars', 'trusts')",False,00:00:40
"In recent years, most floppies have shipped pre-formatted from the factory as DOS FAT12 floppies.","['floppies', 'factory']",16,1,"('factory', 'floppies')",False,00:00:28
"On the back wall of the store, beverages within the cooler pop thanks to LED lighting, which also helps cut down on the store's energy costs.","['wall', 'store']",2,-1,[],False,00:00:50
"The body was in a bin, next to a dumpster, in a fenced-in area of the complex's parking lot.","['body', 'bin']",4,-1,[],False,00:00:51
"In 1952, when Fidel ran for congressman on the Ortodoxo party ticket, it was Father who helped finance his campaign.","['congressman', 'party ticket']",18,1,"('party ticket', 'congressman')",True,00:01:14
His trademark steam-engine puffing is revealed as a sound made by a viper spitting venom at his prey before swallowing her whole.,"['sound', 'viper']",1,1,"('viper', 'sound')",True,00:00:43
Sixty-two containers fell into the dam.,"['containers', 'dam']",6,-1,[],False,00:00:32
Tissues from the dorsal lobe of the pancreas of 8 starlings (Sturnus vulgaris) were examined electron microscopically using conventionally prepared samples.,"['lobe', 'pancreas']",2,-1,[],False,00:00:44
"The ""listening"" elephant catches the vibrations with its toes, behind which lie pads of acoustically sensitive fat.","['elephant', 'toes']",3,0,"('elephant', 'toes')",True,00:01:06
You have a bottle with enough marbles in it to make one row across the bottom as it rolls down the track.,"['bottle', 'marbles']",5,-1,[],False,00:01:07
"An initial staff of 5 yields a net saving of 1 employee, whereas an initial staff of 50 employees is reduced by 10.","['staff', 'employees']",13,-1,[],False,00:01:29
"The Order of Friars Minor Capuchin (OFM Cap) is an order of friars in the Roman Catholic Church, the chief and only permanent offshoot of the Franciscans.","['order', 'friars']",13,-1,[],False,00:01:33
Musicians used their real nails of the right hand to pluck the strings.,"['nails', 'hand']",2,-1,[],False,00:00:44
