sentence,entities,gt_relation,pred_relation,pred_edge,exec_time
"Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone.","['tone', 'vibration']",1,1,"('vibration', 'tone')",00:00:13
"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the threat caused by the spell is minimal.","['threat', 'spell']",1,1,"('spell', 'threat')",00:00:10
"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the earthquakes are caused by the movements of hydrothermal and/or magmatic fluids.","['earthquakes', 'movements']",1,1,"('movements', 'earthquakes')",00:00:12
Forward motion of the vehicle through the air caused a suction on the road draft tube.,"['motion', 'suction']",0,0,"('motion', 'suction')",00:00:09
"The malfunctions on Monday caused delays for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online.","['malfunctions', 'delays']",0,0,"('malfunctions', 'delays')",00:00:12
"Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds.","['damage', 'growth']",0,0,"('damage', 'growth')",00:00:08
The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.,"['discomfort', 'injury']",1,1,"('injury', 'discomfort')",00:00:08
"The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides.","['water', 'tides']",0,0,"('water', 'tides')",00:00:13
"The charge is the source of an electric field, which carries energy-the electrostatic self-energy.","['charge', 'field']",0,0,"('charge', 'field')",00:00:08
The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.,"['tardiness', 'arrival']",1,1,"('arrival', 'tardiness')",00:00:08
The river had now turned into full flood after the deluge of rain a few days ago.,"['flood', 'deluge']",1,1,"('deluge', 'flood')",00:00:14
She mentioned the scandal caused by a BBC documentary on the treatment of children in a special-needs home and asked how the state had responded to these.,"['scandal', 'documentary']",1,1,"('documentary', 'scandal')",00:00:10
The World Health Organization(WHO) found that the radiation release from the Chernobyl accident was 200 times that of the Hiroshima and Nagasaki.,"['radiation', 'accident']",1,1,"('accident', 'radiation')",00:00:17
"Also, in the midst of the confusion caused by the coup, the issuing of militant posters was a way for artists and organizations to declare their active engagement against the rebellion.","['confusion', 'coup']",1,1,"('coup', 'confusion')",00:00:11
The accident caused a major traffic snarl on the arterial road.,"['accident', 'snarl']",0,0,"('accident', 'snarl')",00:00:06
"The various forms of idealistic, materialistic and agnostic philosophies are subject to the tension caused by the indicated situation.","['tension', 'situation']",1,1,"('situation', 'tension')",00:00:08
Contractions of the diaphragm are caused by stimulation of the vagus nerve either by the brain or by irritation anywhere along the length of the nerve.,"['Contractions', 'irritation']",1,1,"('irritation', 'Contractions')",00:00:10
Plantar warts are caused by a virus that infects the outer layer of skin on the soles of the feet.,"['warts', 'virus']",1,1,"('virus', 'warts')",00:00:06
The stong earthquake caused a blackout on the sound stage and short-circuited some of the neon-tubed violins.,"['earthquake', 'blackout']",0,0,"('earthquake', 'blackout')",00:00:07
"Tension Release by Mega Food contains Sensoril, a clinically studied extract of a Ashwagandha that helps to inhibit fatigue and physical tension from everyday stress.","['tension', 'stress']",1,1,"('stress', 'tension')",00:00:11
"Cardiovascular disease is one of the leading causes of morbidity and mortality in the UK, as well as in the developed and the developing world.","['Cardiovascular disease', 'morbidity']",0,0,"('Cardiovascular disease', 'morbidity')",00:00:10
Dizziness from nasal and sinus pressure usually can be seen on a good nasal examination and a CT of the sinuses.,"['Dizziness', 'sinus pressure']",1,1,"('sinus pressure', 'Dizziness')",00:00:08
This meeting establishes the laws which govern the church and the priorities for the coming year.,"['meeting', 'laws']",0,0,"('meeting', 'laws')",00:00:07
"Phobia like fear from crowd, fear from insects, fear from height etc all contribute in developing the anxiety disorder.","['fear', 'crowd']",1,1,"('crowd', 'fear')",00:00:10
The hidden preamble or timing signal is employed to mark the time of commencement of the transmission of information pulses from a transmitter.,"['transmission', 'transmitter']",1,1,"('transmitter', 'transmission')",00:00:18
"Doe's confrontation with the flight attendant caused a commotion on the plane, prolonged the flight's delay, and added to the aggravation already being felt by the passengers and crew.","['confrontation', 'commotion']",0,0,"('confrontation', 'commotion')",00:00:07
"The increase of the signal might correspond to formation of the high-density excitons, while the reduction of the signal originates from the relaxation.","['reduction', 'relaxation']",1,1,"('relaxation', 'reduction')",00:00:13
We estimate a wind speed associated with the devastation caused by the tornado.,"['devastation', 'tornado']",1,1,"('tornado', 'devastation')",00:00:11
"The basic indicator of the health condition of trees, stands and forests is tree defoliation.","['indicator', 'condition']",1,1,"('condition', 'indicator')",00:00:13
The deficits are caused by people saving too much of their money.,"['deficits', 'people']",1,1,"('people', 'deficits')",00:00:11
"Heat, wind and smoke cause flight delays.","['wind', 'delays']",0,0,"('wind', 'delays')",00:00:13
"In developing countries four-fifths of all the illnesses are caused by water-borne diseases, with diarrhoea being the leading cause of childhood death.","['illnesses', 'diseases']",1,1,"('diseases', 'illnesses')",00:00:09
The destruction caused by the bombing of Attorney General Palmer's home.,"['destruction', 'bombing']",1,1,"('bombing', 'destruction')",00:00:07
The second biggest factor affecting the sound produced by a drum is the tension at which the drum head is held against the shell of the drum.,"['sound', 'drum']",1,1,"('drum', 'sound')",00:00:16
The largest landslide triggered by the earthquake is located approximately 32 kilometers southeast of Muzafarrabad in a tributary valley of the Jhelum River.,"['landslide', 'earthquake']",1,1,"('earthquake', 'landslide')",00:00:11
"The debris caused a crash on the Schuylkill, and it has been closed for hours because of the mishap.","['debris', 'crash']",0,0,"('debris', 'crash')",00:00:06
"A fire triggered by the blasts damaged eight buildings at the plant, including one that was burned down.","['fire', 'blasts']",1,1,"('blasts', 'fire')",00:00:08
Mechanical faults caused delays and cancellations on Wellington's suburban train services this morning.,"['faults', 'cancellations']",0,0,"('faults', 'cancellations')",00:00:08
Relieve spinal stenosis by enlarging the spinal canal to relieve pressure on the spinal cord that has been caused by a herniated or bulging disc.,"['pressure', 'disc']",1,1,"('disc', 'pressure')",00:00:07
Passengers have rights in the event of a delay or cancellation that has been caused by the airline.,"['cancellation', 'airline']",1,1,"('airline', 'cancellation')",00:00:15
However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom.,"['sorrow', 'loss']",1,1,"('loss', 'sorrow')",00:00:12
But the earthquake triggered by the eruption of Thera struck first.,"['earthquake', 'eruption']",1,1,"('eruption', 'earthquake')",00:00:10
"Diabetes mellitus is one of the leading causes of irreversible blindness worldwide, and, in the United States.","['Diabetes mellitus', 'blindness']",0,0,"('Diabetes mellitus', 'blindness')",00:00:10
Getting help has reduced the time to reverse all the irritation that had been caused by the fungus.,"['irritation', 'fungus']",1,1,"('fungus', 'irritation')",00:00:10
"On the other hand, the higher the satisfaction from the purchase, the greater the benefit of word-of-mouth referrals and repeat purchasing.","['satisfaction', 'purchase']",1,1,"('purchase', 'satisfaction')",00:00:12
District Judge without a jury and judgment was entered for the defendants on the ground that the accident was caused by the plaintiff's own negligence.,"['accident', 'negligence']",1,1,"('negligence', 'accident')",00:00:06
The children descend the ladder after hearing the fire alarm which has been triggered by the wood work workshop catching fire.,"['alarm', 'fire']",1,1,"('fire', 'alarm')",00:00:09
The incident caused a brief sensation on the Web among people suspicious that it was a political commentary.,"['incident', 'sensation']",0,0,"('incident', 'sensation')",00:00:10
"And this is frequently cited as ""proof"" that saturated fats and cholesterol cause heart disease.","['cholesterol', 'disease']",0,0,"('cholesterol', 'disease')",00:00:09
"Many commercial soap, shower gel or cleanser products contain preservatives, colorants and chemicals that cause dryness, rashes, itchiness and roughness on the skin.","['preservatives', 'itchiness']",0,0,"('preservatives', 'itchiness')",00:00:15
Birchwood and Stockton Heath were called to the scene after pyrotechnics used during one of the performances caused a fire on the main stage.,"['pyrotechnics', 'fire']",0,0,"('pyrotechnics', 'fire')",00:00:20
Like a catch-22 the worst part is that acne causes stress and stress triggers acne breakouts.,"['stress', 'breakouts']",0,0,"('stress', 'breakouts')",00:00:10
The US patent system is in a crisis that has been caused by the flood of patent applications being filed at the USPTO every year.,"['crisis', 'flood']",1,1,"('flood', 'crisis')",00:00:10
Viral gastroenteritis is a highly contagious infection of the intestines caused by one of several viruses.,"['infection', 'viruses']",1,1,"('viruses', 'infection')",00:00:13
Diet fizzy drinks and meat cause heart disease and diabetes.,"['drinks', 'diabetes']",0,0,"('drinks', 'diabetes')",00:00:10
"We explore the experience of grief after the loss of a parent and offers support; we also make simple suggestions, and we provide a place for sharing memories.","['grief', 'loss']",1,1,"('loss', 'grief')",00:00:17
The war mentality was generated by the Iraq war in combination with the constant drum beat of fear at home.,"['mentality', 'war']",1,1,"('war', 'mentality')",00:00:07
Preeclampsia is still one of the leading causes of maternal mortality.,"['Preeclampsia', 'mortality']",0,0,"('Preeclampsia', 'mortality')",00:00:10
The demolition was the cause of terror and communal divide is just a way of not letting truth prevail.,"['demolition', 'terror']",0,0,"('demolition', 'terror')",00:00:09
"The outbreak resulted in 256 deaths and 3,402 injuries.","['outbreak', 'injuries']",0,0,"('outbreak', 'injuries')",00:00:06
"Sip the tea slowly to reduce stomach pain from indigestion, bloating and feeling of fullness.","['pain', 'indigestion']",1,1,"('indigestion', 'pain')",00:00:18
"Alcohol, substance abuse and poverty all lead to child abuse.","['Alcohol', 'child abuse']",0,0,"('Alcohol', 'child abuse')",00:00:09
The ATM malfunction caused a rush on the ATM machine until the police sealed off the area.,"['malfunction', 'rush']",0,0,"('malfunction', 'rush')",00:00:17
"Sodium causes fluid retention, which can lead to edema (swelling), increased blood pressure, and in those susceptible patients, congestive heart failure.","['Sodium', 'retention']",0,0,"('Sodium', 'retention')",00:00:15
In businesses generally the third party claims for the damages that has been caused by the company vehicle.,"['damages', 'vehicle']",1,1,"('vehicle', 'damages')",00:00:07
The law established a major redistribution of territorial sovereignty within the Empire.,"['law', 'redistribution']",0,0,"('law', 'redistribution')",00:00:06
Infectious mononucleosis due to the Epstein-Barr virus causes exudative tonsillitis or pharyngitis in about one-half of cases.,"['virus', 'tonsillitis']",0,0,"('virus', 'tonsillitis')",00:00:08
"During the trial, the prosecution presented ""pictures of burning bodies and human remains as well as images of the explosion triggered by the Pentagon crash.""","['explosion', 'crash']",1,1,"('crash', 'explosion')",00:00:09
Extensive damage at the mine has been caused by the strikers.,"['damage', 'strikers']",1,1,"('strikers', 'damage')",00:00:10
"I too, get a headache from wine, and was always told that it was the sulfites.","['headache', 'wine']",1,1,"('wine', 'headache')",00:00:11
"Describing all of the harm caused by the hurricane has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York.","['harm', 'hurricane']",1,1,"('hurricane', 'harm')",00:00:09
"Information is included on the disease caused by the organism, its transmission, geographical distribution, and hosts.","['disease', 'organism']",1,1,"('organism', 'disease')",00:00:08
"Infection is one of the commonest causes of death in burn patients, particularly.","['Infection', 'death']",0,0,"('Infection', 'death')",00:00:07
I was diagnosed with bipolar disorder following a breakdown triggered by the sudden death of my brother six years ago.,"['breakdown', 'death']",1,1,"('death', 'breakdown')",00:00:07
The reactor meltdown caused a chain reaction that destroyed all the towers in the network.,"['meltdown', 'reaction']",0,0,"('meltdown', 'reaction')",00:00:07
Convulsions that occur after DTaP are caused by a fever.,"['Convulsions', 'fever']",1,1,"('fever', 'Convulsions')",00:00:07
"As the vehicles caught fire after the collision, the transformers began to explode one after the other.","['fire', 'collision']",1,1,"('collision', 'fire')",00:00:11
Fog or smoke cause irritation to those with respiratory sensitivity.,"['Fog', 'irritation']",0,0,"('Fog', 'irritation')",00:00:08
"The sinking resulted in the loss of 112 lives, including those of 28 Americans.","['sinking', 'loss']",0,0,"('sinking', 'loss')",00:00:07
Chronic daily headaches are tension headaches or headaches which are caused by taking too many pain killers.,"['headaches', 'pain killers']",1,1,"('pain killers', 'headaches')",00:00:09
"Pneumococcal meningitis is caused by pneumococcus bacteria, which also cause several diseases of the respiratory system, including pneumonia.","['meningitis', 'bacteria']",1,1,"('bacteria', 'meningitis')",00:00:07
Also (on a proportional basis) the rainbow caused by the spray appeared smaller than that of the other rainbow.,"['rainbow', 'spray']",1,1,"('spray', 'rainbow')",00:00:08
The changes now seen in the endometrium are caused by a hormone called progesterone.,"['changes', 'hormone']",1,1,"('hormone', 'changes')",00:00:10
"The waste, a mixture of gasoline, water and caustic soda, gave off toxic fumes.","['waste', 'fumes']",0,0,"('waste', 'fumes')",00:00:10
Weak ligaments are caused by problems with collagen (protein fibres in the ligaments).,"['Weak ligaments', 'problems']",1,1,"('problems', 'Weak ligaments')",00:00:12
This article discusses the ethics of the Soldier of Fortune's guns-for-hire advertisements that resulted in several murders across the United States.,"['advertisements', 'murders']",0,0,"('advertisements', 'murders')",00:00:09
"The battle caused a panic on the frontier, and settlers in the surrounding counties fled.","['battle', 'panic']",0,0,"('battle', 'panic')",00:00:08
"For decades, most of the nation's renewable power has come from dams, which supplied cheap electricity without requiring fossil fuels.","['power', 'dams']",1,1,"('dams', 'power')",00:00:10
"The optical signal is generated by an externally modulated tunable laser, and introduced to the chip through a tapered fiber.","['signal', 'laser']",1,1,"('laser', 'signal')",00:00:08
The byelection was caused by the resignation of Boris Johnson following his election as mayor of London in May.,"['byelection', 'resignation']",1,1,"('resignation', 'byelection')",00:00:11
Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate structure caused by bond speculation.,"['structure', 'speculation']",1,1,"('speculation', 'structure')",00:00:10
He received reports from the residence hall presidents regarding evacuation after the fire drill.,"['evacuation', 'drill']",1,1,"('drill', 'evacuation')",00:00:11
"The tsunamis triggered by the massive earthquakes plunged those provinces into crisis: the number of people dead and missing has reached to 245,782 people.","['tsunamis', 'earthquakes']",1,1,"('earthquakes', 'tsunamis')",00:00:10
We have to take into account the reality of the damage that has been caused by the deregulation of nutritional supplements.,"['damage', 'deregulation']",1,1,"('deregulation', 'damage')",00:00:15
"Estrogen dominance is one of the main causes of osteoporosis, cancer, ovarian cysts, fibroids and a host of other female problems in the U.S.","['Estrogen dominance', 'osteoporosis']",0,0,"('Estrogen dominance', 'osteoporosis')",00:00:15
The great news is that germs causing recreational water illnesses are killed by chlorine.,"['germs', 'illnesses']",0,0,"('germs', 'illnesses')",00:00:10
The disruption has been caused by a sensitivity reaction in the brain to an ingested substance.,"['disruption', 'substance']",1,1,"('substance', 'disruption')",00:00:17
"The enormous landslide, which was triggered by an exceptionally heavy rainfall event (500 mm in 24 h) on 30 October 1998.","['landslide', 'rainfall']",1,1,"('rainfall', 'landslide')",00:00:13
The heated gas caused a pyrolysis on the lower part of oil shale and produced shale oil and oil shale gas are escaped from the retort through exhaust pipe.,"['gas', 'pyrolysis']",0,0,"('gas', 'pyrolysis')",00:00:13
The low oil prices caused the collapse of the wall and the Russian empire.,"['prices', 'collapse']",0,0,"('prices', 'collapse')",00:00:08
The pain was caused by the parasite entering the body through the skin during bathing or drinking of infested water.,"['pain', 'parasite']",1,1,"('parasite', 'pain')",00:00:10
"The reaction starts at a rather low temperature ( + 5C), and the calorimeter is run from 40 to 130C.","['reaction', 'temperature']",1,1,"('temperature', 'reaction')",00:00:09
I derive a tremendous amount of joy from teaching students in the research laboratory.,"['joy', 'teaching']",1,1,"('teaching', 'joy')",00:00:06
A very serious problem ensued from the events of the day.,"['problem', 'events']",1,1,"('events', 'problem')",00:00:07
A first revolution was triggered by the growing use of reading and writing.,"['revolution', 'writing']",1,1,"('writing', 'revolution')",00:00:08
"The vibration caused by a heavy goods train on the Metropolitan Railway, which runs under the Exhibition premises, had shaken the figure off its balance.","['vibration', 'train']",1,1,"('train', 'vibration')",00:00:13
"Voltage surges or spikes are caused by lightning, short circuits, power company equipment problems, and inductive spikes, among many other causes.","['surges', 'lightning']",1,1,"('lightning', 'surges')",00:00:11
"The recovery is weak and fragile, and the economic and social damage caused by the crisis is long-lasting.","['damage', 'crisis']",1,1,"('crisis', 'damage')",00:00:14
The cutaneous mycoses are caused by a homogeneous group of keratinophilic fungi termed the dermatophytes.,"['mycoses', 'fungi']",1,1,"('fungi', 'mycoses')",00:00:07
"Recovery from the global economic crisis triggered by the collapse of Lehman Brothers was achieved with cooperation from Brazil, Russia, India and China.","['crisis', 'collapse']",1,1,"('collapse', 'crisis')",00:00:11
The microphone converts sound into an electrical signal.,"['microphone', 'signal']",0,0,"('microphone', 'signal')",00:00:10
Swelling of the resin is caused by the expansion of the structure as a result of water (or other liquid) molecules penetrating the matrix.,"['Swelling', 'expansion']",1,1,"('expansion', 'Swelling')",00:00:09
"There were setbacks and technical problems that ensued from the location design, flooding, and moisture that plagued the winery and bumped up the investment cost beyond the initial budgetary estimates.","['setbacks', 'design']",1,1,"('design', 'setbacks')",00:00:10
"We find evidence that Ernst suffered a thrombotic cardiovascular event, i.e., a myocardial infraction triggered by a blood clot.","['infraction', 'clot']",1,1,"('clot', 'infraction')",00:00:10
"The breakdown of the linear relation of J,1 D at peakeffect region indicates that the peakeffect originates from an addition pinning effect.","['peakeffect', 'effect']",1,-1,[],00:00:12
"However, a headache from wine is often stronger and last longer due to several compounds.","['headache', 'wine']",1,1,"('wine', 'headache')",00:00:12
The Maze procedure crates new pathways for the electrical impulses that trigger the heartbeat.,"['impulses', 'heartbeat']",0,0,"('impulses', 'heartbeat')",00:00:06
We discovered that my chronic migraines and neck pain were caused by the injuries I had sustained in my first car accident two and a half years ago.,"['migraines', 'injuries']",1,1,"('injuries', 'migraines')",00:00:08
"The continuous rains had caused the overflow of Sulangaling River, a creek of the Muara Batang.","['rains', 'overflow']",0,0,"('rains', 'overflow')",00:00:09
"Sun and wind cause evaporation of water, causing rains, and this energy can be caught using hydroelectric power.","['Sun', 'evaporation']",0,0,"('Sun', 'evaporation')",00:00:08
He schose the better approach: to be honest and understanding and to acknowledge the distress caused by the hallucinations or delusions.,"['distress', 'delusions']",1,1,"('delusions', 'distress')",00:00:08
"Fatigue corrosion and stress corrosion are similar, as both are caused by external stresses applied to the pipe and occur inside of the pipe.","['Fatigue', 'corrosion']",0,0,"('Fatigue', 'corrosion')",00:00:08
The best kept secret for avoiding abdominal weight gain due to stress is the use of adaptogens.,"['weight gain', 'stress']",1,1,"('stress', 'weight gain')",00:00:08
"Vietnam's response on the toll caused by the earthquake in Sichuan, China.","['toll', 'earthquake']",1,1,"('earthquake', 'toll')",00:00:11
"Their analysis demonstrates beyond any doubt that the problem of unemployment has been caused by the state, not by any inherent flaws or failures in a free market.","['problem', 'state']",1,1,"('state', 'problem')",00:00:09
The inequality and poverty caused the riots in 2001.,"['inequality', 'riots']",0,0,"('inequality', 'riots')",00:00:12
It seems like the fever heat got pushed out from the body as rashes.,"['heat', 'body']",1,1,"('body', 'heat')",00:00:30
The yellow discolouration has been caused by the damaging acidic properties of the low-grade mount used in the original frame.,"['discolouration', 'properties']",1,1,"('properties', 'discolouration')",00:00:10
The damage caused by the tsunami - at least the physical damage - is barely visible in some places.,"['damage', 'tsunami']",1,1,"('tsunami', 'damage')",00:00:09
The gaps in the rings are caused by resonance between the particles in the rings and the moons orbiting nearby.,"['gaps', 'resonance']",1,1,"('resonance', 'gaps')",00:00:07
"The resulting conflict caused the destruction of the town, and The Conqueror, Wisecrack, Jackdaw and most of the citizens of the town were transported to a demon-dimension.","['conflict', 'destruction']",0,0,"('conflict', 'destruction')",00:00:10
"As the right front wheel of Senna's car hit the wall, the violent impact caused a torsion on the steering column, causing it to break.","['impact', 'torsion']",0,0,"('impact', 'torsion')",00:00:11
The weather resulted in several deaths and hundreds of accidents.,"['weather', 'accidents']",0,0,"('weather', 'accidents')",00:00:08
Sixty five million years ago an asteroid caused the extinction of the dinosaurs.,"['asteroid', 'extinction']",0,0,"('asteroid', 'extinction')",00:00:08
Amtrak expects a normal rush hour after a fatal accident near Baltimore caused delays along the Northeast corridor.,"['accident', 'delays']",0,0,"('accident', 'delays')",00:00:11
"As we saw earlier, helicobacter is responsible for causing stomach ulcer.","['helicobacter', 'ulcer']",0,0,"('helicobacter', 'ulcer')",00:00:13
"Over 90% of the cases of ringworm of the scalp are caused by Trichophyton tonsurans, a fungus that infects the hairs and causes them to break.","['ringworm', 'fungus']",1,1,"('fungus', 'ringworm')",00:00:08
Many shoulder problems are caused by the breakdown of soft tissues in the shoulder region.,"['shoulder problems', 'breakdown']",1,1,"('breakdown', 'shoulder problems')",00:00:12
"Tulip mania, in the 1600s, was caused by the massive influx of newly discovered Gold into Amsterdam from the new world: in particular the capture of the Spanish Treasury fleet.","['mania', 'influx']",1,1,"('influx', 'mania')",00:00:13
"Currently, there is no known cure for asbestos cancer but several mesothelioma treatment regimens have proven to be successful in helping the patient avoid pain and discomfort caused by the disease.","['pain', 'disease']",1,1,"('disease', 'pain')",00:00:09
The patient experiences displaced emotional and financial deprivation as well as anger after the divorce.,"['deprivation', 'divorce']",1,1,"('divorce', 'deprivation')",00:00:09
Smoke is one of the leading causes of kidney failures.,"['Smoke', 'kidney failures']",0,0,"('Smoke', 'kidney failures')",00:00:07
Germs are microscopic organisms that cause sickness or disease.,"['Germs', 'disease']",0,0,"('Germs', 'disease')",00:00:06
"Yellow fever is caused by infection with yellow fever virus, which is transmitted by the bite of infected mosquitoes.","['fever', 'virus']",1,1,"('virus', 'fever')",00:00:08
"Even though his 16-month old suffered from severe burns on her body caused by boiling water spilled on her, father refuses to allow ambulance to take his daughter to Hadassah because 'rabbi advised otherwise'.","['burns', 'boiling water']",1,1,"('boiling water', 'burns')",00:00:08
"Atopic dermatitis, the most common type of eczema, causes itchiness that's worse in the colder months.","['dermatitis', 'itchiness']",0,0,"('dermatitis', 'itchiness')",00:00:08
Botulism is a rare but serious paralytic illness caused by a nerve toxin that is produced by the bacterium Clostridium botulinum.,"['illness', 'toxin']",1,1,"('toxin', 'illness')",00:00:11
"The benefits from inflation which Professor Mulligan cites (e.g., bailing out underwater mortgagers) are better understood as a government sponsored transfer of wealth from savers to speculators.","['benefits', 'inflation']",1,1,"('inflation', 'benefits')",00:00:18
"The concerto comes from the pop of gas bubbles escaping the joints, snapping tendons and ligaments, and rickety arthritic joints.","['concerto', 'pop']",1,1,"('pop', 'concerto')",00:00:08
A urinary tract infection (UTI) is the most common cause of bladder irritation.,"['infection', 'irritation']",0,0,"('infection', 'irritation')",00:00:10
"The protest resulted in hours of traffic jams on Guangzhou's major roads, such as Guangyuanxi Lu, Huangshidong Lu and Dongfeng Lu.","['protest', 'jams']",0,0,"('protest', 'jams')",00:00:12
Evacuees with disabilities had a difficult time conveying the trauma caused by the unexpected arrival of uniformed officers who ordered them out of their homes and sometimes forcibly removed them.,"['trauma', 'arrival']",1,1,"('arrival', 'trauma')",00:00:15
Highly viscous lavas lead to a violent eruption.,"['lavas', 'eruption']",0,0,"('lavas', 'eruption')",00:00:11
The cysts are caused by chronic inflammation of the perichondrium with production of serous fluid between the perichondrium and cartilage.,"['cysts', 'inflammation']",1,1,"('inflammation', 'cysts')",00:00:10
"Some posters (e.g. number 18) encouraged the population of areas near the front to evacuate, thus avoiding the overcrowding and ensuing problems of food distribution and disease caused by the incoming refugees.","['disease', 'refugees']",1,1,"('refugees', 'disease')",00:00:11
"If a participant complaint is the source of an investigative lead, interim contact with the participant should be made by the investigator.","['complaint', 'lead']",0,0,"('complaint', 'lead')",00:00:10
The violence has been caused by the Hutu militia who fled Rwanda after the genocide in that country and who have been in hiding in the forest in Congo.,"['violence', 'militia']",1,1,"('militia', 'violence')",00:00:17
The clock struck twelve with a loud chime that made me jump.,"['clock', 'chime']",0,0,"('clock', 'chime')",00:00:10
Signs placed at the flagpole island at the village square caused a stir on the Linglestown forum on PennLive.com.,"['Signs', 'stir']",0,0,"('Signs', 'stir')",00:00:08
"Lena Basilone, a cook at Camp Pendleton, was in the hospital recovering from a severe kitchen burn after the spilling of scalding liquid on her feet.","['burn', 'spilling']",1,1,"('spilling', 'burn')",00:00:16
Gross revenues from the selling of crude oil in 2003 reached US$11.508 billion or some 112.85 percent of the amount targeted in the 2003 state budget.,"['revenues', 'selling']",1,1,"('selling', 'revenues')",00:00:12
"Whooping cough is another name for the pertussis, an infection of the airways caused by the bacteria bordetella pertussis.","['infection', 'bacteria']",1,1,"('bacteria', 'infection')",00:00:09
"And it is why we are even prouder to announce that the appeal - thanks to the generosity of our readers - has raised 26,000 pounds, despite the hardship that has been caused by the recession.","['hardship', 'recession']",1,1,"('recession', 'hardship')",00:00:11
The problems are caused by buffer overflows when parsing an overly long parameter.,"['problems', 'overflows']",1,1,"('overflows', 'problems')",00:00:06
